,Unnamed: 0,나이,성별,최종접속일,유입경로,유입기기,회원 가입일,사업자구분,회원구분,주문자ID,Recency,Recency_int,Frequency,Monetary,Total,Rank
0,0,45,남자,2016-12-30 오후 5:57,블로그광고,PC,2016-12-30,개인,일반,0V00A1,30 days,30,11,678340,339181.2,B
1,1,53,남자,2017-01-02 오후 12:32,블로그광고,모바일,2017-01-01,개인,일반,1V00A1,153 days,153,10,799920,400007.9,B
2,2,28,남자,2017-02-26 오후 10:52,이메일광고,PC,2017-01-14,사업자,사업자,2V00A1,18 days,18,3105,247597550,123799401.4,A
3,3,44,여자,2017-01-23 오후 6:25,블로그광고,PC,2017-01-17,사업자,사업자,3V00A1,23 days,23,24,2826660,1413341.7,A
4,4,40,남자,2018-12-19 오후 1:26,SNS광고,모바일,2017-01-17,사업자,사업자,4V00A1,28 days,28,45,2785020,1392527.4,A
5,5,44,남자,2017-01-18 오후 4:28,SNS광고,PC,2017-01-18,사업자,사업자,5V00A1,27 days,27,132,16137400,8068734.5,A
6,6,45,남자,2017-02-13 오후 2:54,블로그광고,PC,2017-01-18,사업자,사업자,6V00A1,22 days,22,29,1462030,731027.4,A
7,7,62,남자,2017-02-23 오후 3:28,인터넷기사광고,PC,2017-01-19,사업자,사업자,7V00A1,48 days,48,25,1996410,998224.4,A
8,8,45,남자,2017-01-20 오후 7:13,블로그광고,PC,2017-01-20,개인,일반,8V00A1,170 days,170,3,157740,78921.6,D
9,9,47,남자,2018-05-09 오후 1:49,블로그광고,PC,2017-02-02,개인,일반,9V00A1,100 days,100,2,138300,69180.4,D
10,10,60,남자,2017-10-11 오후 1:48,인터넷기사광고,PC,2017-02-06,개인,일반,10V00A1,22 days,22,50,3086710,1543371.6,A
11,11,47,여자,2017-02-11 오후 6:09,SNS광고,모바일,2017-02-06,개인,일반,11V00A1,57 days,57,9,980660,490348.9,B
12,12,44,남자,2017-02-09 오후 2:13,블로그광고,PC,2017-02-09,사업자,사업자,12V00A1,170 days,170,1,70620,35361.2,D
13,13,34,남자,2017-02-12 오후 8:43,카카오톡광고,모바일,2017-02-12,개인,일반(수신거부),13V00A1,28 days,28,80,6478130,3239089.4,A
14,14,46,남자,2017-11-07 오전 1:34,블로그광고,PC,2017-02-12,사업자,사업자,14V00A1,21 days,21,19,1643650,821835.1,A
15,15,47,남자,2017-02-13 오후 1:19,SNS광고,모바일,2017-02-13,개인,일반,15V00A1,22 days,22,34,1601070,800548.4,A
16,16,47,남자,2017-02-14 오후 6:38,SNS광고,모바일,2017-02-13,개인,일반,16V00A1,22 days,22,43,3847560,1923795.2,A
17,17,47,여자,2017-02-14 오후 5:55,블로그광고,PC,2017-02-14,개인,일반,17V00A1,17 days,17,94,7057280,3528663.9,A
18,18,47,여자,2017-02-16 오후 3:46,SNS광고,모바일,2017-02-16,개인,일반,18V00A1,169 days,169,3,244040,122071.3,C
19,19,46,여자,,SNS광고,모바일,2017-02-16,개인,일반,19V00A1,20 days,20,75,4766500,2383271.0,A
20,20,54,남자,,블로그광고,모바일,2017-02-20,사업자,사업자,20V00A1,169 days,169,2,200640,100371.1,D
21,21,47,남자,2017-02-21 오전 11:08,블로그광고,PC,2017-02-21,사업자,사업자,21V00A1,21 days,21,232,22931010,11465557.7,A
22,22,33,남자,2017-02-21 오후 11:52,이메일광고,PC,2017-02-21,개인,일반,22V00A1,23 days,23,57,4668510,2334273.3,A
