판매자ID,판매자,판매 서비스 수,총 판매 금액,프리미엄 서비스 가입여부,신속 알람 서비스 사용여부
V2_0,김러그,326,147927420,가입,미사용
V2_1,디프라이,43,146832200,가입,미사용
V2_2,Sailorkr,14,140029000,가입,미사용
V2_3,신뢰할만한지식인65,16,130713200,가입,미사용
V2_4,에픽핫,18,126229400,가입,미사용
V2_5,앱플랫폼만드는전문가,6,99299800,가입,미사용
V2_6,한길소프트,6,99050900,가입,미사용
V2_7,김케이9089,93,94820200,가입,미사용
V2_8,ORDO,27,90478780,가입,미사용
V2_9,티릴리,18,90144000,가입,미사용
V2_10,기획자심근수,45,88672200,가입,미사용
V2_11,노란창문,433,88536310,가입,사용
V2_12,Python과AWS,23,86959600,가입,미사용
V2_13,개밥그릇,2924,75635570,가입,미사용
V2_14,kbs,2447,68746230,가입,사용
V2_15,아하데이터랩,1810,68268880,가입,사용
V2_16,저디잘,978,67328060,가입,사용
V2_17,number154a,1642,66723840,가입,사용
V2_18,Loonix,781,65931080,가입,사용
V2_19,var,2180,65200770,가입,사용
V2_20,민그리머,1803,64245140,가입,사용
V2_21,12년차기획전문가,1177,63777650,가입,사용
V2_22,밥알미디어,2096,63769000,가입,사용
V2_23,카네기,1256,63396110,가입,사용
V2_24,Kerry7,1764,63263530,가입,사용
V2_25,풍요로운수달,1145,62564790,미가입,사용
V2_26,코딩전문가분석전문가,228,61940420,미가입,미사용
V2_27,하로스튜디오,1110,61861990,미가입,사용
V2_28,포인트폰,185,61262800,미가입,미사용
V2_29,임쁘띠,582,61023380,가입,사용
V2_30,JAC,53,60646800,가입,미사용
V2_31,시스픽스,4180,60150440,가입,사용
V2_32,DNS,6,60068000,가입,미사용
V2_33,다해준다,402,59979500,가입,미사용
V2_34,cgod,1089,59914700,가입,사용
V2_35,design2u,1603,59871950,가입,사용
V2_36,워드프레서,900,59581720,가입,사용
V2_37,오토스탁,191,58873720,가입,미사용
V2_38,locozdesign,27,58380400,가입,미사용
V2_39,하시인,1489,58187800,가입,사용
V2_40,MInhoHwangK9,251,58004860,가입,미사용
V2_41,신씨남자,115,57551000,가입,사용
V2_42,Kants,195,57168600,가입,미사용
V2_43,원스홈페이지,373,57121130,가입,미사용
V2_44,스튜디오플랜씨,212,56963660,가입,미사용
V2_45,타임포애드,28,56219200,가입,미사용
V2_46,용병,513,55093300,가입,사용
V2_47,비햄Bham,762,55057420,가입,사용
V2_48,nomadyoung,103,54800000,가입,미사용
V2_49,오토코인,354,54689400,가입,미사용
V2_50,파디오,398,54677540,가입,미사용
V2_51,잉글로고,281,54532260,가입,미사용
V2_52,디자인하이브,403,54356900,가입,미사용
V2_53,파나마소프트,56,54340320,가입,미사용
V2_54,웹인어스,169,54320000,가입,사용
V2_55,makjune,54,53558100,가입,미사용
V2_56,TeamSFB,276,53555200,가입,미사용
V2_57,Jprospace,129,53044550,가입,미사용
V2_58,BotMaker,110,52639600,가입,미사용
V2_59,토리팜,170,52553230,가입,사용
V2_60,코어2코어,129,52409810,가입,미사용
V2_61,꼬미애비,423,52408780,가입,사용
V2_62,한석영,9,52104200,가입,사용
V2_63,홈페이지박스,153,51830780,가입,미사용
V2_64,BreadOne,64,51707360,미가입,미사용
V2_65,비베스,688,50994430,미가입,사용
V2_66,DesignerTEO,77,50841620,미가입,미사용
V2_67,돌마,840,50783230,가입,사용
V2_68,페라프라페,747,50062620,가입,사용
V2_69,똘맹,159,50052700,가입,사용
V2_70,브릿지게임즈,9,49544200,가입,미사용
V2_71,탸탸안드,881,49302250,가입,사용
V2_72,디자인담다,88,49001620,가입,미사용
V2_73,최현오,854,48828340,가입,사용
V2_74,예스맨,149,48764250,가입,미사용
V2_75,펄라이트,10,48424000,가입,미사용
V2_76,CreativeWriter,168,48062280,가입,사용
V2_77,OrcaSoft,12,48020600,가입,미사용
V2_78,갓성비파트너스,20,47987680,가입,미사용
V2_79,코메프리마,680,47976090,가입,사용
V2_80,speeno,157,47629880,가입,사용
V2_81,Mickycci,92,47416800,가입,미사용
V2_82,척척통계석사,866,47222250,가입,사용
V2_83,mission1,41,47108700,가입,미사용
V2_84,트렌디유저,116,47099260,가입,미사용
V2_85,꿈코,139,46926720,가입,미사용
V2_86,autobot,105,46915900,가입,사용
V2_87,다은크리에이터,47,46906800,가입,미사용
V2_88,stonemodoo,553,46519380,가입,사용
V2_89,이지엑셀,2729,46453680,가입,사용
V2_90,아이팩트,392,46356580,가입,미사용
V2_91,제이군마케팅,469,46016770,가입,사용
V2_92,오투오랩,300,45821820,가입,미사용
V2_93,넘버원아이템,192,45804700,가입,미사용
V2_94,야근하는손가락,1448,45656240,가입,미사용
V2_95,flatW,216,45376080,가입,미사용
V2_96,유스트라다무스,298,45172720,가입,사용
V2_97,스크래핑전문가2,31,45143100,가입,미사용
V2_98,CryptoRabbit,18,45101400,가입,미사용
V2_99,루코,91,45075720,가입,미사용
V2_100,코인매매전문,18,45056000,가입,미사용
V2_101,VRMaker,63,44950500,가입,미사용
V2_102,북치기박치기북북,126,44846720,가입,미사용
V2_103,22hours,227,44787520,가입,미사용
V2_104,스마트dda,3738,44589500,미가입,미사용
V2_105,WebiusDeveloper,1157,44166740,미가입,사용
V2_106,KYA,211,44007940,가입,미사용
V2_107,샌드박스네트워크,1,44000000,가입,미사용
V2_108,애니데이터,107,43986280,가입,미사용
V2_109,DesignKim,113,43983600,가입,미사용
V2_110,ES임베디드,173,43959180,가입,사용
V2_111,rigelko,1593,43785200,가입,사용
V2_112,pbkim2,27,43452200,가입,미사용
V2_113,SSOOYA,1157,43246640,가입,사용
V2_114,원데이샵,82,43162800,가입,미사용
V2_115,ITH,770,43140660,가입,사용
V2_116,BLOGO,415,43040920,가입,사용
V2_117,웹메이드,43,42979400,가입,미사용
V2_118,아이민트,40,42543400,가입,미사용
V2_119,웹대장,131,42287700,가입,미사용
V2_120,펀프롬잇,206,42206700,가입,미사용
V2_121,최초개척자,1571,42125240,가입,미사용
V2_122,태풍,71,42022000,가입,미사용
V2_123,웨이비,1160,41811900,가입,사용
V2_124,CLOUDLAB,1148,41606200,가입,사용
V2_125,스튜디오다름공간,25,41315000,가입,미사용
V2_126,무극선인,679,41292800,가입,사용
V2_127,슈징코,268,41018000,가입,미사용
V2_128,개발자강팀장,626,41014170,가입,사용
V2_129,PublisherSAN,753,40891460,가입,사용
V2_130,100ME,433,40852510,가입,사용
V2_131,나루세,234,40681600,가입,미사용
V2_132,크루또이,394,40609550,가입,미사용
V2_133,ㅣ김현우,29,40568000,가입,미사용
V2_134,웹제작소,246,40347520,가입,사용
V2_135,unidus,21,40193880,가입,미사용
V2_136,비바랩VIVALAB,78,39763200,가입,미사용
V2_137,esolution,102,39743980,가입,미사용
V2_138,아피토스,78,39561360,가입,미사용
V2_139,서울넘버풀,1031,39504630,가입,사용
V2_140,오토스탁1004,129,39373600,가입,미사용
V2_141,인터넷쇼핑몰전문가,255,39300120,가입,미사용
V2_142,EBConsulting,1069,39220780,가입,사용
V2_143,oxyzn,33,38866180,가입,미사용
V2_144,ProjectHenry,71,38850780,가입,미사용
V2_145,HYEONBLISHER,1074,38824060,가입,사용
V2_146,K7562120369,26,38781870,가입,미사용
V2_147,누누NUNU,362,38423100,가입,미사용
V2_148,해로웃탸,38,38298240,가입,미사용
V2_149,최지웅123,153,38273430,가입,미사용
V2_150,팀시지프스,447,38272000,가입,사용
V2_151,개발자둠타,667,38115880,가입,사용
V2_152,굿바이플래시,404,37668420,가입,사용
V2_153,카리스턱,1648,37592750,가입,사용
V2_154,하나0715,736,37558510,가입,사용
V2_155,마스터MASTER,74,37522080,가입,미사용
