서비스명,판매자,서비스가격,평점,대분류,서비스번호,판매수
"""P2P 대출"" 서비스를 위한 기획을 해 드립니다.",디자인쇼크리더,400000,0,기획,5651,6
"""반응형 웹 퍼블리싱"" 모든 퍼블리싱 작업 맞춤 진행",ThunDesign,15000,0,홈페이지,6122,1
"""이커머스 웹 사이트개발 경력자""의 쇼핑몰 제작",IAMTRY,500000,0,커머스,6152,3
.NET C# 개발. WPF 또는 WinForms,혼살,1200000,5,프로그래밍,5009,1
".NET, c# 응용프로그램 개발, delphi",JAVASCRIPT,60000,5,프로그램,4419,10
"10년 경력 개발자가 모바일, 웹 게임 개발 해 드립니다.",개발자김유리,1000000,5,홈페이지,4923,10
17년경력 VBA 이용하여 매크로 레포트 등 만들어 드립니다.,EBConsulting,30000,5,기타,2233,9
1시간만에 웹사이트 만들어 드립니다.,썸네일아트,19000,5,홈페이지,3735,226
1일이내 작업가능 웹퍼블리싱 작업해 드립니다.,var,50000,5,홈페이지,2189,147
"3일완성,관리자모드,반응형 홈페이지 제작해 드립니다.",SOOKYUNGJUNG,390000,5,홈페이지,3787,82
5페이지 기본 실속형 홈페이지를 제작해 드립니다.,웹빌더리,110000,0,홈페이지,5932,2
Android App 만들어 드립니다.,코딩하는황소,250000,5,모바일,3228,116
"Android, iOS BLE/NFC 앱 개발해드립니다",HendersonCompany,2000000,0,모바일,5870,20
"android, ios 를 동시에 개발,배포 해드립니다",동현98,100000,5,프로그래밍,4314,40
AOS 네이티브앱 유지보수해 드립니다.,허당도사,800000,5,모바일,4525,16
App Web 기획서 스토리보드 작성 목업 제작해 드립니다.,패스터,290000,5,기획,3161,42
"APP 개발 처음 기획서,업체선정 노하우알려 드립니다.",FlowChart,300000,5,기획,4928,3
"App, Web 기획서, 스토리 보드 기획해 드립니다.",무란,250000,5,기획,4309,3
App/Web 화면설계서로 구체화해 드립니다.,디테일J,250000,5,기타,4844,49
ASP PHP 그누보드 사이트 고쳐드립니다.,뾰로통한당근6195,5000,0,기타,6271,2
AWS / Linux / 오픈소스 기술 지원 드립니다.,풍요로운수달,50000,5,기타,3492,184
AWS Setting 도와 드립니다.,용산집,50000,5,기타,3043,64
AWS 기술지원해 드립니다.,MasterONE,10000,5,기타,2446,68
AWS 설계/구축/운영/교육 제공해 드립니다.,kimdragon50,100000,4,기타,5052,9
AWS 아마존 웹 서비스의 모든 사항에 대해 도와 드립니다.,CLOUDLAB,30000,5,홈페이지,2611,1108
"AWS 클라우드 기술지원, 유지보수",Linux,5000,5,기타,3071,588
C C Java MFC C WPF 프로그램 개발해 드립니다.,감동프로그래머,20000,5,프로그램,2329,18
"C, C++, MFC, C# 일반 소프트웨어를 개발해 드립니다.",Madbrain,100000,4.7,프로그래밍,3044,15
C언어 프로그래밍을 해 드립니다.,C튜토리얼,7500,5,프로그래밍,2392,6
"C언어, Java 기반 모든 연동 및 개발해 드립니다.",임베디드웹백엔드연동짱,500000,0,프로그래밍,5639,3
"C언어, 파이썬, 웹 프로그래밍, 프로젝트도와드립니다.",rigelko,10000,4.9,홈페이지,2465,5
Data scientist의 데이터 분석 서비스,DA블루,15000,4.9,데이터,3187,31
DB 설계 모델링 이기종 마이그레이션을 해 드립니다.,database전문가,100000,4.9,기타,3840,25
